No,시도,구군,국민행복지수,행복역량지수,여가,사회관계,교육,경제,환경,안전,건강
139,충청남도,아산시,c,0.4496,0.6699,0.5856,0.7662,0.6999,0.215,0.1211,0.3894
140,충청남도,서산시,e,0.3553,0.6266,0.4061,0.4736,0.5949,0.4232,0.3472,0.1287
141,충청남도,논산시,b,0.4954,0.555,0.3563,0.6768,0.2452,0.6138,0.3316,0.6328
142,충청남도,계룡시,a,0.5473,0.5015,1,0.8135,0.3867,0.9096,0.3911,0.4171
143,충청남도,당진시,e,0.2609,0.4082,0.4928,0.3652,0.665,0.2107,0.1738,0.0066
144,충청남도,금산군,a,0.5935,0.8612,0.3199,0.7188,0.454,0.7413,0.8158,0.4979
145,충청남도,부여군,c,0.4789,0.7826,0.6508,0.4818,0.0922,0.7339,0.5057,0.4912
146,충청남도,서천군,a,0.4688,0.7615,0.6825,0.6138,0.2688,0.5758,0.6447,0.312
147,충청남도,청양군,b,0.4801,0.8614,0.2398,0.7694,0.3304,0.6956,0.8459,0.2275
148,충청남도,홍성군,b,0.4723,0.4893,0.3028,0.6033,0.3543,0.561,0.551,0.4667
149,충청남도,예산군,c,0.435,0.7818,0.3786,0.4369,0.3729,0.6408,0.67,0.249
150,충청남도,태안군,e,0.3762,0.3323,0.3153,0.5712,0.3552,0.6947,0.6847,0.1115
151,전라북도,전주시,b,0.4846,0.3519,0.8702,0.8056,0.3866,0.4421,0.2984,0.4718
152,전라북도,군산시,e,0.3425,0.3348,0.3227,0.8449,0.4131,0.1792,0.2728,0.249
153,전라북도,익산시,c,0.4427,0.3773,0.3905,0.9334,0.2726,0.3728,0.1333,0.5754
154,전라북도,정읍시,d,0.4237,0.7403,0.5178,0.66,0.1673,0.6658,0.3092,0.3904
155,전라북도,남원시,a,0.4861,0.7962,0.5118,0.8382,0.1012,0.7331,0.2421,0.5603
156,전라북도,김제시,e,0.3182,0.4983,0.2215,0.4906,0.1869,0.5769,0.0311,0.3859
157,전라북도,완주군,a,0.4625,0.5532,0.5971,0.6903,0.4415,0.5987,0.3544,0.3709
158,전라북도,진안군,a,0.4866,0.9962,0.334,0.0306,0.0937,1,0.6069,0.5571
159,전라북도,무주군,d,0.4523,1,0.3613,0.1036,0.2084,0.8709,0.7477,0.3417
160,전라북도,장수군,c,0.3977,0.9189,0.5011,0.1613,0.0086,0.8372,0.5225,0.3596
161,전라북도,임실군,b,0.4464,0.6959,0.5354,0.0287,0.0766,0.799,0.7756,0.4289
162,전라북도,순창군,c,0.4102,0.818,0.5823,0.0539,0.1177,0.8585,0.5305,0.361
163,전라북도,고창군,c,0.4453,0.6402,0.635,0.2517,0.1484,0.7952,0.4587,0.4619
164,전라북도,부안군,d,0.399,0.6294,0.4438,0.3643,0.129,0.6588,0.4696,0.3843
165,전라남도,목포시,b,0.5435,0.4002,0.6163,0.759,0.2837,0.549,0.5033,0.6341
166,전라남도,여수시,c,0.4096,0.4212,0.7349,0.3478,0.5344,0.3839,0.2859,0.3527
167,전라남도,순천시,b,0.506,0.6732,0.7952,0.8416,0.3924,0.7285,0.4881,0.3118
168,전라남도,나주시,b,0.4338,0.6988,0.3704,0.469,0.2988,0.6215,0.3256,0.4574
169,전라남도,광양시,d,0.3929,0.6612,0.7399,0.4901,0.6389,0.2171,0.4471,0.1424
